,title,awards.wins,imdb.rating,id
173,Masquerade in Vienna,0,7.9,173
174,The Private Life of Don Juan,1,6.4,174
175,Final Accord,1,7.0,175
176,China Seas,0,7.0,176
177,The New Gulliver,1,6.9,177
178,Theodora Goes Wild,0,7.4,178
179,42nd Street,3,7.7,179
180,Queen Christina,0,7.9,180
181,Death Takes a Holiday,1,7.2,181
182,Man of Aran,3,7.6,182
183,The 39 Steps,2,7.8,183
184,The Crusades,0,6.8,184
185,Roberta,0,7.2,185
186,Anthony Adverse,0,6.6,186
187,The Beloved Vagabond,0,5.4,187
188,Flash Gordon,1,7.3,188
189,Fury,6,7.9,189
190,The Invisible Ray,1,6.7,190
191,Romeo and Juliet,6,6.8,191
192,Little Women,4,7.4,192
193,The Black Cat,1,7.2,193
194,Black Fury,0,6.7,194
195,Ruggles of Red Gap,4,7.8,195
196,Swedenhielms Family,0,5.9,196
197,The Story of a Cheat,0,7.8,197
198,The Story of Louis Pasteur,5,7.4,198
199,Tsirk,1,6.9,199
200,Captains Courageous,6,8.0,200
201,Daughter of Shanghai,1,6.4,201
202,The Mummy,1,7.2,202
203,The Red Head,1,7.6,203
204,Gold Diggers of 1933,2,8.1,204
205,Going Hollywood,0,8.1,205
206,Wild Boys of the Road,1,7.5,206
207,The Count of Monte Cristo,1,7.7,207
208,Little Miss Marker,1,7.1,208
209,The World Moves On,1,5.9,209
210,A Night at the Opera,1,8.1,210
211,Sanders of the River,1,5.6,211
212,Triumph of the Will,1,7.5,212
213,State Fair,4,7.0,213
214,Murders in the Rue Morgue,1,6.4,214
215,Tarzan the Ape Man,1,7.2,215
216,Le grand jeu,0,7.3,216
217,A Midsummer Night's Dream,0,7.1,217
218,Popeye the Sailor Meets Sindbad the Sailor,2,7.5,218
219,Three Little Pigs,2,7.6,219
220,Toni,1,7.4,220
221,Wonder Bar,0,7.0,221
222,Alice Adams,4,7.1,222
223,Curly Top,0,6.9,223
224,Folies Bergère de Paris,0,6.8,224
225,Mutiny on the Bounty,3,7.8,225
226,Mary of Scotland,1,6.5,226
227,Mr. Deeds Goes to Town,6,8.0,227
228,The Robber Symphony,1,7.4,228
229,The Edge of the World,1,7.4,229
230,Berkeley Square,2,6.6,230
231,Eskimo,2,7.1,231
232,The Invisible Man,3,7.7,232
233,The Power and the Glory,1,6.9,233
234,Zero for Conduct,1,7.5,234
235,Broadway Bill,0,6.8,235
236,Les Misèrables,1,7.9,236
237,The Band Concert,1,7.9,237
238,Broadway Melody of 1936,0,6.9,238
239,The Ghost Goes West,1,6.8,239
240,The Informer,10,7.6,240
241,The Lives of a Bengal Lancer,3,7.4,241
242,Footlight Parade,1,7.8,242
243,Baby Face,1,7.7,243
244,The Lost Patrol,2,7.0,244
245,Everybody's Woman,1,7.5,245
246,Gold Diggers of 1935,0,7.6,246
247,The Wedding Night,1,6.8,247
248,The Lower Depths,2,7.8,248
249,My Man Godfrey,7,8.1,249
250,Rembrandt,1,7.1,250
251,Red Dust,1,7.4,251
252,Scarface,2,7.8,252
253,Flying Down to Rio,0,6.7,253
254,Sons of the Desert,1,7.8,254
255,The Son of Kong,0,5.8,255
256,The Man Who Knew Too Much,2,6.9,256
257,Becky Sharp,2,6.1,257
258,The Devil Is a Woman,1,7.2,258
260,She,0,6.6,259
261,Come and Get It,0,7.1,260
262,Lloyd's of London,0,7.0,261
263,The Awful Truth,3,8.0,262
264,The Dark Angel,0,6.9,263
265,Carnival in Flanders,5,7.6,264
266,Who Killed Cock Robin?,3,7.2,265
267,The Great Ziegfeld,4,6.9,266
268,The Green Pastures,1,7.1,267
269,The Prisoner of Shark Island,1,7.4,268
270,San Francisco,2,7.3,269
271,A Day in the Country,1,7.8,270
272,A Damsel in Distress,0,7.0,271
273,I Was Born But...,1,8.0,272
274,Cavalcade,4,6.1,273
275,Duck Soup,2,8.0,274
276,The Barretts of Wimpole Street,3,7.1,275
277,Maria Chapdelaine,2,6.9,276
278,The Thin Man,6,8.2,277
279,Moscow Laughs,0,7.2,278
280,Anna Karenina,3,7.1,279
281,Dante's Inferno,0,6.7,280
282,Scrooge,1,6.6,281
283,Wife! Be Like a Rose!,1,7.7,282
284,Der Kaiser von Kalifornien,1,7.1,283
285,These Three,2,7.7,284
286,King Kong,3,8.0,285
287,She Done Him Wrong,3,6.5,286
288,Chapayev,2,7.3,287
289,The Gay Divorcee,0,7.6,288
290,David Copperfield,4,7.6,289
291,It Happened One Night,10,8.2,290
292,Naughty Marietta,3,7.0,291
293,The Scarlet Empress,1,7.8,292
294,Top Hat,6,7.9,293
295,Tarzan and His Mate,1,7.6,294
296,Secret Agent,1,6.6,295
297,Twentieth Century,1,7.9,296
298,Black Legion,2,7.0,297
299,Modern Times,3,8.6,298
300,Swing Time,2,7.7,299
301,The Music Box,2,8.1,300
302,Dekigokoro,1,7.6,301
303,Payment Deferred,1,7.0,302
304,Smilin' Through,2,7.0,303
305,Two Seconds,1,6.9,304
306,Zoo in Budapest,1,7.0,305
307,One Night of Love,3,6.0,306
308,Viva Villa!,4,6.6,307
309,The Gilded Lily,1,7.2,308
310,Dodsworth,6,8.2,309
311,Follow the Fleet,0,7.3,310
312,The Garden of Allah,3,6.0,311
313,Mayerling,2,7.2,312
314,Three Smart Girls,0,6.8,313
315,Elephant Boy,2,6.6,314
316,Cleopatra,0,6.9,315
317,Bride of Frankenstein,3,7.9,316
318,The Charge of the Light Brigade,0,7.1,317
319,The Trail of the Lonesome Pine,2,6.9,318
320,Camille,3,7.5,319
321,Pèpè le Moko,2,7.8,320
322,Make Way for Tomorrow,2,8.3,321
323,Lost Horizon,0,7.8,322
324,Waikiki Wedding,0,6.1,323
325,The Big Broadcast of 1938,2,6.5,324
326,A Woman's Face,1,7.1,325
327,Marie Antoinette,5,7.6,326
328,Destry Rides Again,1,7.8,327
329,Union Pacific,3,7.2,328
330,Young Mr. Lincoln,4,7.7,329
331,49th Parallel,0,7.5,330
332,The Man Who Came to Dinner,1,7.7,331
